Respondent ID,Publication ID,Submitted,First Active,Publication Consent,Language,Index,wkt,"Where do you swim, snorkel or dive?",Which activities do you do here?,Swimming,Snorkeling,Diving,Which activities do you do here?,Swimming,Snorkeling,Diving
,,,,,,,,swim_snork_dive_area,swimming_snorkeling_diving,swimming_snorkeling_diving: option swimming,swimming_snorkeling_diving: option snorkeling,swimming_snorkeling_diving: option diving,checkbox-list-kevw8wvw,checkbox-list-kevw8wvw: option option-identifier-kevw8xu1,checkbox-list-kevw8wvw: option option-identifier-kevw97x6,checkbox-list-kevw8wvw: option option-identifier-kevw9b71
9s47wn37kca7,429e4efu6uew,2020-09-18 01:24:22,2020-09-18 01:18:49,TRUE,en,0,POINT (-64.748291 32.331689),"32.331689,-64.748291","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
9s47wn37kca7,429e4efu6uew,2020-09-18 01:24:22,2020-09-18 01:18:49,TRUE,en,1,POINT (-64.656909 32.352636),"32.352636,-64.656909","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
9s47wn37kca7,429e4efu6uew,2020-09-18 01:24:22,2020-09-18 01:18:49,TRUE,en,2,POINT (-64.708621 32.31852),"32.31852,-64.708621",,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE
9s47wn37kca7,429e4efu6uew,2020-09-18 01:24:22,2020-09-18 01:18:49,TRUE,en,3,POINT (-64.717122 32.316125),"32.316125,-64.717122","[false,true,false]",FALSE,TRUE,FALSE,"[false,true,false]",FALSE,FALSE,FALSE
9s47wn37kca7,429e4efu6uew,2020-09-18 01:24:22,2020-09-18 01:18:49,TRUE,en,4,POINT (-64.808504 32.308342),"32.308342,-64.808504","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
3224cs3st668,429e4efu6uew,2020-09-18 18:57:15,2020-09-18 18:53:43,TRUE,en,0,POINT (-64.781987 32.34505),"32.34505,-64.781987","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
3224cs3st668,429e4efu6uew,2020-09-18 18:57:15,2020-09-18 18:53:43,TRUE,en,1,POINT (-64.805333 32.331127),"32.331127,-64.805333","[false,true,false]",FALSE,TRUE,FALSE,"[false,true,false]",FALSE,FALSE,FALSE
3224cs3st668,429e4efu6uew,2020-09-18 18:57:15,2020-09-18 18:53:43,TRUE,en,2,POINT (-64.714696 32.386228),"32.386228,-64.714696","[false,false,true]",FALSE,FALSE,TRUE,"[false,false,true]",FALSE,FALSE,FALSE
2s7te49963nx,429e4efu6uew,,2020-09-18 18:57:17,TRUE,en,0,POINT (-64.97465 32.345123),"32.345123,-64.97465","[false,false,true]",FALSE,FALSE,TRUE,"[false,false,true]",FALSE,FALSE,FALSE
6jht4kpc477u,429e4efu6uew,,2020-09-18 22:17:18,TRUE,en,0,POINT (-64.727056 32.279184),"32.279184,-64.727056","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
6jht4kpc477u,429e4efu6uew,,2020-09-18 22:17:18,TRUE,en,1,POINT (-64.777181 32.242023),"32.242023,-64.777181","[false,false,true]",FALSE,FALSE,TRUE,"[false,false,true]",FALSE,FALSE,FALSE
4bdz4tji69xj,429e4efu6uew,2020-09-19 14:10:12,2020-09-19 14:07:15,TRUE,en,0,POINT (-64.821089 32.251112),"32.251112,-64.821089","[true,false,false]",TRUE,FALSE,FALSE,"[true,false,false]",FALSE,FALSE,FALSE
